743	opo1802a	CL J0615-5746	SPT0615-JD	Galaxy Cluster	Stretched out image of distant galaxy
746	opo1036a	NGC 3982	Face-on spiral galaxy NGC 3982	Spiral Galaxy	Face-on spiral galaxy NGC 3982
749	heic1910b	NGC 4485 / NGC 4490	NGC 4485 / NGC 4490	Galaxy Portrait	Distant view of a galactic crash — NGC 4490 and NGC 4485 (ground-based image)
750	potw1747b	MACS J1206.2-0847	Galaxy cluster MACSJ1206	Galaxy Cluster	Galaxy cluster MACSJ1206
753	potw1006a	NGC 3810	NGC 3810 A -perfect spiral	Spiral Galaxy	NGC 3810: A picture-perfect spiral
754	heic0810aq	NGC 520 / Arp 157 / VV 231	VV 231	Interacting Galaxies	NGC 520
755	potw2240a	AM 0608-333	AM 0608-333	Interacting Galaxies	A Snapshot of Interacting Galaxies
757	heic1919a	ESO 285-19	Arp-Madore 2026-424	Galaxy Portrait	Arp-Madore 2026-424
758	heic1812a	ESO 325-G004	of ESO 325-G004	Galaxy Portrait	Image of ESO 325-G004
759	opo1545a	MACS J0416.1-2403	MACS J0416.1-2403	Christmas Tree Galaxy Cluster	Faint compact galaxy in the early Universe
762	opo1000a	NGC 1376	Spiral galaxy NGC 1376	Spiral Galaxy	Spiral galaxy NGC 1376
766	opo1812b	NGC 1015 / NGC 3972	NGC 3972 and NGC 1015	Galaxy Portrait	NGC 3972 and NGC 1015
767	opo1726a	MACS J2129-0741	MACS J2129-0741	Galaxy Cluster	Galaxy cluster MACS J2129-0741 and lensed galaxy MACS2129-1
768	heic1511a	REP: 3C radio-galaxy sample	REP: 3C radio-galaxy sample	Active Galaxy	Artist’s illustration of galaxy with jets from a supermassive black hole
772	heic1404b	ESO 137-001	and Chandra composite of ESO 137-001	Galaxy Portrait	Hubble and Chandra composite of ESO 137-001
773	heic2016b	MACS J1206.2-0847	MACS J1206.2-0847	Galaxy Cluster	Hubble Examines the Galaxy Cluster MACSJ 1206
774	opo1847b	NGC 3938	SN 2017ein	Supernova Host Galaxy	Astronomers find a supernova's progenitor star in Hubble images
